,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
.Mississippi,2179000,2163000,2152000,2105000,2064000,2060000,2086000,2088000,2086000,2138000,2178000,2206000,2243000,2244000,2241000,2246000,2245000,2228000,2219000,2220000,2216994,2265432,2307117,2349546,2378268,2399449,2429756,2459201,2487816,2507069,2520638,2539036,2556777,2567717,2578051,2588102,2593597,2588545,2580352,2574269,2575475,2578897,2598733,2623734,2655100,2688992,2722659,2748085,2777004,2804834,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970548,2978731,2983816,2988711,2990468,2988471,2987938,2988510,2981020,2976149
.Missouri,3955000,4015000,3972000,4020000,4066000,4134000,4163000,4189000,4186000,4258000,4320000,4349000,4357000,4392000,4442000,4467000,4523000,4539000,4568000,4640000,4677623,4725764,4758780,4782645,4795930,4808308,4839029,4863173,4889399,4912430,4916686,4932064,4929451,4943733,4975278,5000268,5023068,5056696,5081736,5095830,5116901,5128880,5170800,5217101,5271175,5324497,5378247,5431553,5481193,5521765,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5995974,6010275,6024367,6040715,6056202,6071732,6087135,6106670,6121623,6137428
.Montana,591000,596000,602000,616000,624000,636000,656000,667000,666000,669000,675000,696000,698000,703000,706000,706000,707000,701000,700000,694000,694409,710814,718732,726798,736419,748208,757317,769953,782317,787305,786690,795328,803986,814031,820905,822320,813739,805063,800202,799636,799065,800204,809680,825770,844761,861306,876553,886254,889865,892431,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,990697,997316,1003783,1013569,1021869,1030475,1040859,1052482,1060665,1068778
.Nebraska,1326000,1316000,1311000,1318000,1340000,1374000,1397000,1394000,1383000,1397000,1411000,1446000,1464000,1476000,1482000,1471000,1456000,1457000,1467000,1474000,1485333,1504604,1519013,1529567,1539191,1543117,1550911,1556842,1563884,1567344,1569825,1578515,1581780,1584293,1588639,1584664,1574333,1566547,1571477,1574864,1578417,1581660,1595919,1611687,1625590,1639041,1656992,1673740,1686418,1695816,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1829542,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,1934408
.Nevada,160000,168000,181000,195000,213000,237000,250000,260000,269000,279000,285000,315000,352000,397000,426000,444000,446000,449000,464000,480000,488738,520018,546789,568991,596822,619972,646975,678333,719436,765367,800493,847655,881537,901977,924922,951030,980613,1023376,1075022,1137382,1201675,1220695,1296171,1351367,1411215,1499298,1581578,1666320,1764104,1853191,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2702405,2712730,2743996,2775970,2817628,2866939,2917563,2969905,3027341,3080156
.New Hampshire,533000,529000,535000,547000,554000,557000,566000,572000,581000,596000,607000,618000,632000,649000,663000,676000,681000,697000,709000,724000,737681,761851,781107,800951,815914,828555,845248,869763,891520,909074,920610,936621,947719,958134,976864,996753,1025053,1054289,1082577,1104522,1109252,1112384,1109929,1117784,1129458,1142560,1157561,1174719,1189425,1205940,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316762,1320202,1324232,1326622,1333341,1336350,1342307,1348787,1353465,1359711
.New Jersey,4835000,5006000,5125000,5229000,5360000,5502000,5615000,5737000,5890000,6015000,6067000,6265000,6376000,6531000,6660000,6767000,6851000,6928000,7005000,7095000,7171112,7281107,7335042,7333083,7332411,7337765,7339745,7337169,7350804,7366512,7364823,7407472,7430968,7467785,7515473,7565528,7622159,7670742,7712333,7726089,7747750,7762963,7814676,7880508,7948915,8014306,8083242,8149596,8218808,8287418,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8799446,8828117,8844942,8856972,8864525,8867949,8870827,8885525,8886025,8882190
.New Mexico,681000,717000,735000,756000,763000,785000,806000,847000,886000,919000,951000,965000,979000,989000,1006000,1012000,1007000,1000000,994000,1011000,1017055,1053737,1078697,1105529,1131309,1159944,1189295,1215720,1238034,1284722,1302894,1332748,1363823,1394361,1416717,1438361,1462729,1478520,1490337,1503901,1515069,1521574,1555305,1595442,1636453,1682398,1720394,1752326,1774839,1793484,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2064552,2080450,2087309,2092273,2089568,2089291,2091630,2091784,2092741,2096829
.New York,14830000,14890000,15192000,15527000,15814000,15966000,16112000,16374000,16601000,16685000,16782000,17061000,17301000,17461000,17589000,17734000,17843000,17935000,18051000,18105000,18241391,18357982,18339400,18177063,18049775,18003485,17940541,17812602,17680589,17583838,17558072,17567734,17589738,17686905,17745684,17791672,17833419,17868848,17941309,17983086,17990778,18020784,18122510,18246653,18374954,18459470,18524104,18588460,18656546,18755906,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19399878,19499241,19572932,19624447,19651049,19654666,19633428,19589572,19530351,19453561
.North Carolina,4062000,4120000,4109000,4120000,4131000,4242000,4309000,4368000,4376000,4458000,4556000,4663000,4707000,4742000,4802000,4863000,4896000,4952000,5004000,5031000,5084411,5203531,5301150,5389852,5470911,5547188,5607964,5685607,5759492,5823491,5881766,5956653,6019101,6077056,6164006,6253954,6321578,6403700,6480594,6565459,6632448,6664016,6784280,6897214,7042818,7187398,7344674,7500670,7656825,7809121,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9574323,9657592,9749476,9843336,9932887,10031646,10154788,10268233,10381615,10488084
